Date,^GSPC,^FCHI,AAPL,TTE.PA
2008-01-02,1447.1600341796875,5550.35986328125,5.83261775970459,19.622589111328125
2008-01-03,1447.1600341796875,5546.080078125,5.835313320159912,20.085975646972656
2008-01-04,1411.6300048828125,5446.7900390625,5.3898725509643555,19.929189682006836
2008-01-07,1416.1800537109375,5452.830078125,5.317729949951172,20.3472900390625
2008-01-08,1390.18994140625,5495.669921875,5.1264424324035645,20.52149200439453
2008-01-09,1409.1300048828125,5435.419921875,5.370416164398193,20.465744018554688
2008-01-10,1420.3299560546875,5400.43017578125,5.329105377197266,20.120817184448242
2008-01-11,1401.02001953125,5371.41015625,5.169548511505127,19.86996841430664
2008-01-14,1416.25,5403.509765625,5.351856231689453,19.974489212036133
2008-01-15,1380.949951171875,5250.81982421875,5.060284614562988,19.420503616333008
2008-01-16,1373.199951171875,5225.39013671875,4.7788920402526855,18.98499870300293
2008-01-17,1333.25,5157.08984375,4.816309928894043,18.62612533569336
2008-01-18,1325.18994140625,5092.39990234375,4.830379009246826,18.552961349487305
2008-01-22,1310.5,4842.5400390625,4.659151077270508,17.30565071105957
2008-01-23,1338.5999755859375,4636.759765625,4.163120746612549,16.298736572265625
2008-01-24,1352.0699462890625,4915.2900390625,4.059243202209473,17.4031982421875
2008-01-25,1330.6099853515625,4878.1201171875,3.891903877258301,17.410167694091797
2008-01-28,1353.9599609375,4848.2998046875,3.891903877258301,17.162790298461914
2008-01-29,1362.300048828125,4941.4501953125,3.9377079010009766,17.361391067504883
2008-01-30,1355.81005859375,4873.56982421875,3.9568653106689453,16.953746795654297
2008-01-31,1378.550048828125,4869.7900390625,4.052060604095459,16.971166610717773
2008-02-01,1395.4200439453125,4978.06005859375,4.003864765167236,17.225507736206055
2008-02-04,1380.8199462890625,4973.64013671875,3.940999746322632,17.33003807067871
2008-02-05,1336.6400146484375,4776.85986328125,3.8724465370178223,16.863161087036133
2008-02-06,1326.449951171875,4816.43017578125,3.6521215438842773,16.96769142150879
2008-02-07,1336.9100341796875,4723.7998046875,3.6293716430664062,16.62275505065918
2008-02-08,1331.2900390625,4709.64990234375,3.756298303604126,16.76211929321289
2008-02-11,1339.1300048828125,4682.7001953125,3.875140428543091,16.748191833496094
2008-02-12,1348.8599853515625,4840.7099609375,3.7377381324768066,17.24641990661621
2008-02-13,1367.2099609375,4855.39990234375,3.8736443519592285,17.22899627685547
2008-02-14,1348.8599853515625,4858.64990234375,3.81557035446167,17.417139053344727
2008-02-15,1349.989990234375,4771.7900390625,3.730851888656616,17.124475479125977
2008-02-19,1348.780029296875,4885.830078125,3.65751051902771,17.69935417175293
2008-02-20,1360.030029296875,4812.81005859375,3.706603765487671,17.378812789916992
2008-02-21,1342.530029296875,4858.85009765625,3.6383512020111084,17.333520889282227
2008-02-22,1353.1099853515625,4824.5498046875,3.5760862827301025,17.38578224182129
2008-02-25,1371.800048828125,4919.259765625,3.5844686031341553,17.73767852783203
2008-02-26,1381.2900390625,4973.06982421875,3.566805362701416,17.76207160949707
2008-02-27,1380.02001953125,4968.81982421875,3.6808605194091797,17.755096435546875
2008-02-28,1367.6800537109375,4865.22998046875,3.8889119625091553,17.566957473754883
2008-02-29,1330.6300048828125,4790.66015625,3.7425270080566406,17.417139053344727
2008-03-03,1331.3399658203125,4742.66015625,3.6440396308898926,17.281251907348633
2008-03-04,1326.75,4675.91015625,3.7305538654327393,17.0303955078125
2008-03-05,1333.699951171875,4756.419921875,3.726659059524536,17.312610626220703
2008-03-06,1304.3399658203125,4678.0498046875,3.620090961456299,16.995553970336914
2008-03-07,1293.3699951171875,4618.9599609375,3.6596062183380127,16.779541015625
2008-03-10,1273.3699951171875,4566.990234375,3.582970380783081,16.769086837768555
2008-03-11,1320.6500244140625,4627.68994140625,3.8122758865356445,16.995553970336914
2008-03-12,1308.77001953125,4697.10009765625,3.7727608680725098,17.0687255859375
2008-03-13,1315.47998046875,4630.18994140625,3.8299405574798584,16.845735549926758
2008-03-14,1288.1400146484375,4592.14990234375,3.7901244163513184,16.706378936767578
2008-03-17,1276.5999755859375,4431.0400390625,3.793717861175537,16.047880172729492
2008-03-18,1330.739990234375,4582.58984375,3.9760212898254395,16.483394622802734
2008-03-19,1298.4200439453125,4555.9501953125,3.881726026535034,16.326614379882812
2008-03-20,1329.510009765625,4533.72021484375,3.989494800567627,15.96774673461914
2008-03-25,1352.989990234375,4692.0,4.2202959060668945,16.330095291137695
2008-03-26,1341.1300048828125,4676.68017578125,4.342432975769043,16.3614501953125
2008-03-27,1325.760009765625,4719.52978515625,4.19844388961792,16.44158172607422
2008-03-28,1315.219970703125,4695.919921875,4.28106689453125,16.344026565551758
2008-03-31,1322.699951171875,4707.06982421875,4.295734405517578,16.389324188232422
2008-04-01,1370.1800537109375,4866.0,4.4762444496154785,16.62275505065918
2008-04-02,1367.530029296875,4911.97021484375,4.415175914764404,16.898000717163086
2008-04-03,1369.31005859375,4887.8701171875,4.538509845733643,17.061758041381836
2008-04-04,1370.4000244140625,4900.8798828125,4.582515716552734,16.94329833984375
2008-04-07,1372.5400390625,4944.60009765625,4.666634559631348,17.037370681762695
2008-04-08,1365.5400390625,4912.68994140625,4.575329780578613,17.141889572143555
2008-04-09,1354.489990234375,4874.97021484375,4.533420085906982,17.368362426757812
2008-04-10,1360.550048828125,4859.419921875,4.626519203186035,17.40494155883789
2008-04-11,1332.8299560546875,4797.93017578125,4.404698371887207,17.089630126953125
2008-04-14,1328.3199462890625,4766.490234375,4.423857688903809,16.99904441833496
2008-04-15,1334.4300537109375,4780.68017578125,4.441817760467529,17.211578369140625
2008-04-16,1364.7099609375,4855.10009765625,4.601077079772949,17.6279296875
2008-04-17,1365.56005859375,4862.14013671875,4.624723434448242,17.577407836914062
2008-04-18,1390.3299560546875,4961.68994140625,4.820801258087158,17.83871841430664
2008-04-21,1388.1700439453125,4910.35009765625,5.033942699432373,18.000728607177734
2008-04-22,1375.93994140625,4872.64013671875,4.795656681060791,18.030345916748047
2008-04-23,1379.9300537109375,4944.64990234375,4.876181602478027,18.343917846679688
2008-04-24,1388.8199462890625,4929.5498046875,5.057291507720947,18.166229248046875
2008-04-25,1397.8399658203125,4978.2099609375,5.080938339233398,18.288171768188477
2008-04-28,1396.3699951171875,5012.75,5.156078815460205,18.366559982299805
2008-04-29,1390.93994140625,4977.10009765625,5.240196704864502,18.727163314819336
2008-04-30,1385.5899658203125,4996.5400390625,5.2072672843933105,18.793365478515625
2008-05-02,1413.9000244140625,5069.7099609375,5.416516304016113,18.929256439208984
2008-05-05,1407.489990234375,5063.35986328125,5.529970645904541,18.978025436401367
2008-05-06,1418.260009765625,5040.919921875,5.587748050689697,18.991958618164062
2008-05-07,1392.5699462890625,5075.31005859375,5.465908527374268,18.918800354003906
2008-05-08,1397.6800537109375,5055.580078125,5.539849758148193,18.742843627929688
2008-05-09,1388.280029296875,4960.56005859375,5.491654396057129,18.594770431518555
2008-05-12,1403.5799560546875,4976.2099609375,5.632650375366211,18.85957145690918
2008-05-13,1403.0400390625,4998.669921875,5.686535358428955,19.007638931274414
2008-05-14,1408.6600341796875,5055.240234375,5.5757737159729,19.225400924682617
2008-05-15,1423.5699462890625,5057.509765625,5.679648399353027,19.180095672607422
2008-05-16,1425.3499755859375,5078.0400390625,5.616485118865967,19.666141510009766
2008-05-19,1426.6300048828125,5142.10009765625,5.496144771575928,19.904809951782227
2008-05-20,1413.4000244140625,5054.8798828125,5.564995765686035,20.220813751220703
2008-05-21,1390.7099609375,5027.5498046875,5.334195613861084,20.487104415893555
2008-05-22,1394.3499755859375,5028.740234375,5.3000664710998535,20.398338317871094
2008-05-23,1375.9300537109375,4933.77001953125,5.42340087890625,20.082332611083984
2008-05-27,1385.3499755859375,4906.56005859375,5.5808610916137695,19.634950637817383
2008-05-28,1390.8399658203125,4971.10986328125,5.59822416305542,19.74502182006836
2008-05-29,1398.260009765625,4975.89990234375,5.588644504547119,20.043272018432617
2008-05-30,1400.3800048828125,5014.27978515625,5.6503119468688965,19.915454864501953
2008-06-02,1385.6700439453125,4935.2099609375,5.570982456207275,19.778757095336914
2008-06-03,1377.6500244140625,4983.7099609375,5.549130439758301,19.851547241210938
2008-06-04,1377.199951171875,4915.06982421875,5.543740749359131,19.095251083374023
2008-06-05,1404.050048828125,4907.06005859375,5.67066764831543,19.235504150390625
2008-06-06,1360.6800537109375,4795.31982421875,5.5572123527526855,19.036672592163086
2008-06-09,1361.760009765625,4799.3798828125,5.4365739822387695,19.429019927978516
2008-06-10,1358.43994140625,4761.080078125,5.5572123527526855,19.17159652709961
2008-06-11,1335.489990234375,4660.91015625,5.412622451782227,18.960338592529297
2008-06-12,1339.8699951171875,4672.2998046875,5.186613082885742,18.786357879638672
2008-06-13,1360.030029296875,4682.2998046875,5.159968852996826,18.567989349365234
2008-06-16,1360.1400146484375,4657.740234375,5.29378080368042,18.679834365844727
2008-06-17,1350.9300537109375,4686.330078125,5.431184768676758,18.623022079467773
2008-06-18,1337.81005859375,4618.75,5.350955963134766,18.317676544189453
2008-06-19,1342.8299560546875,4591.39013671875,5.415319442749023,18.340747833251953
2008-06-20,1317.9300537109375,4509.27001953125,5.2467827796936035,18.342531204223633
2008-06-23,1318.0,4511.3701171875,5.183618545532227,18.720670700073242
2008-06-24,1314.2900390625,4473.759765625,5.186312675476074,18.630130767822266
2008-06-25,1321.969970703125,4536.2900390625,5.310246467590332,18.575098037719727
2008-06-26,1283.1500244140625,4426.18994140625,5.036934852600098,18.420639038085938
2008-06-27,1278.3800048828125,4397.31982421875,5.0917181968688965,18.786357879638672
2008-06-30,1280.0,4434.85009765625,5.012388229370117,19.244388580322266
2008-07-01,1284.9100341796875,4341.2099609375,5.229119777679443,18.825410842895508
2008-07-02,1261.52001953125,4296.47998046875,5.03454065322876,18.56443977355957
2008-07-03,1262.9000244140625,4343.990234375,5.092614650726318,18.29815101623535
2008-07-07,1252.31005859375,4342.58984375,5.243489742279053,18.65853500366211
2008-07-08,1273.699951171875,4275.60986328125,5.374905586242676,18.282163619995117
2008-07-09,1244.68994140625,4339.66015625,5.216248989105225,18.20760726928711
2008-07-10,1253.3900146484375,4231.56005859375,5.287495136260986,17.698087692260742
2008-07-11,1239.489990234375,4100.64013671875,5.166253566741943,17.813486099243164
2008-07-14,1228.300048828125,4142.52978515625,5.205171585083008,17.639507293701172
2008-07-15,1214.9100341796875,4061.14990234375,5.078244686126709,17.27024269104004
2008-07-16,1245.3599853515625,4112.4501953125,5.173141002655029,16.776700973510742
2008-07-17,1260.3199462890625,4225.990234375,5.143205642700195,16.911623001098633
2008-07-18,1260.6800537109375,4299.35986328125,4.9438347816467285,16.90985107421875
2008-07-21,1260.0,4327.14013671875,4.977962970733643,16.918725967407227
2008-07-22,1277.0,4327.259765625,4.850138187408447,17.40338897705078
2008-07-23,1282.18994140625,4408.740234375,4.977062702178955,17.412269592285156
2008-07-24,1252.5400390625,4347.990234375,4.760632038116455,16.92582893371582
2008-07-25,1257.760009765625,4377.18017578125,4.853131294250488,17.176149368286133
2008-07-28,1234.3699951171875,4324.4501953125,4.6220293045043945,17.39451026916504
2008-07-29,1263.199951171875,4320.490234375,4.702255725860596,17.232955932617188
2008-07-30,1284.260009765625,4400.5498046875,4.786076545715332,17.46551513671875
2008-07-31,1267.3800048828125,4392.35986328125,4.758236408233643,17.54009246826172
2008-08-01,1260.31005859375,4314.33984375,4.6896820068359375,17.32349967956543
2008-08-04,1249.010009765625,4280.6298828125,4.587006092071533,17.13886260986328
2008-08-05,1284.8800048828125,4386.35009765625,4.808825492858887,16.858366012573242
